article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0590,Higdon,2018,Oncologic emergencies: Recognition and initial management,AFP,local_lite,RECO_local_lite,Higdon_Atkinson_2018#@#ART-0590@#@.pdf,RECO_local_lite,Higdon_Atkinson_2018#@#ART-0590@#@.pdf
ART-0595,Hitzeman,2014,Incidentalomas: Initial management,AFP,local_lite,RECO_local_lite,Hitzeman_Cotton_2014#@#ART-0595@#@.pdf,RECO_local_lite,Hitzeman_Cotton_2014#@#ART-0595@#@.pdf
ART-0605,Howard-Thompson,2018,Type 2 diabetes mellitus: Outpatient insulin management,AFP,local_lite,RECO_local_lite,Howard_Thompson_Khan_2018#@#ART-0605@#@.pdf,RECO_local_lite,Howard_Thompson_Khan_2018#@#ART-0605@#@.pdf
ART-0607,Hu,2019,Urinary incontinence in women: Evaluation and management,AFP,local_lite,RECO_local_lite,Hu_Pierre_2019#@#ART-0607@#@.pdf,RECO_local_lite,Hu_Pierre_2019#@#ART-0607@#@.pdf
ART-0655,Kale,2019,Urine drug tests: Ordering and interpreting results,AFP,right_click,RECO_right_click,Kale_2019#@#ART-0655@#@.pdf,RECO_right_click,Kale_2019#@#ART-0655@#@.pdf
ART-0662,Kant,2020,Thyroid nodules: Advances in evaluation and management,AFP,local_lite,RECO_local_lite,Kant_Davis_2020#@#ART-0662@#@.pdf,RECO_local_lite,Kant_Davis_2020#@#ART-0662@#@.pdf
ART-0668,Katz,2022,27-56,Other Journal,local_lite,RECO_local_lite,Katz_Dunbar_2022#@#ART-0668@#@.pdf,RECO_local_lite,Katz_Dunbar_2022#@#ART-0668@#@.pdf
ART-0682,Kim,2022,a practical approach,AFP,right_click,RECO_right_click,Kim_Farrell_2022#@#ART-0682@#@.pdf,RECO_right_click,Kim_Farrell_2022#@#ART-0682@#@.pdf
ART-0691,Klein,2018,Caring for transgender and gender-diverse persons: What clinicians should know,AFP,local_lite,RECO_local_lite,Klein_Paradise_2018#@#ART-0691@#@.pdf,RECO_local_lite,Klein_Paradise_2018#@#ART-0691@#@.pdf
ART-0692,Klein,2019,Amenorrhea: A systematic approach to diagnosis and management,AFP,local_lite,RECO_local_lite,Klein_Paradise_2019#@#ART-0692@#@.pdf,RECO_local_lite,Klein_Paradise_2019#@#ART-0692@#@.pdf
ART-0693,Klein,2021,diagnosis and management,AFP,local_lite,RECO_local_lite,Klein_Sylvester_2021#@#ART-0693@#@.pdf,RECO_local_lite,Klein_Sylvester_2021#@#ART-0693@#@.pdf
ART-0701,Kline,2021,common questions and answers,AFP,local_lite,RECO_local_lite,Kline_Smith_2021#@#ART-0701@#@.pdf,RECO_local_lite,Kline_Smith_2021#@#ART-0701@#@.pdf
ART-0718,Kullo,2016,Peripheral artery disease,NEJM,local_lite,RECO_local_lite,Kullo_Rooke_2016#@#ART-0718@#@.pdf,RECO_local_lite,Kullo_Rooke_2016#@#ART-0718@#@.pdf
ART-0726,Lacy,2021,ACG clinical guideline: Management of irritable bowel syndrome,Other Journal,right_click,RECO_right_click,Lacy_Pimentel_2021#@#ART-0726@#@.pdf,RECO_right_click,Lacy_Pimentel_2021#@#ART-0726@#@.pdf
ART-0729,Lam,2016,Systemic lupus erythematosus: Primary care approach to diagnosis and management,AFP,local_lite,RECO_local_lite,Lam_Ghetu_2016#@#ART-0729@#@.pdf,RECO_local_lite,Lam_Ghetu_2016#@#ART-0729@#@.pdf
